sp,pi,n
Fusconaia-escambia-COI,0.00153374233128834,4
Fusconaia-flava-COI,0.0233975943318504,7
Fusconaia-mitchelli-COI,0.011522633744856,9
Lamellidens-corrianus-COI,0.0153241650294695,10
Lamellidens-jenkinsianus-COI,0.00323624595469256,3
Lamellidens-marginalis-COI,0.0255154369440084,14
Lampsilis-hydiana-COI,0.000442282176028306,7
Lampsilis-straminea-COI,0.0202020202020202,3
Lampsilis-teres-COI,0.0035276176806979,86
Megalonaias-nervosa-COI,0.00455973169703204,43
Parreysia-corrugata-COI,0.0558117308582858,28
Parreysia-favidens-COI,0.0211111111111111,9
Pilsbryoconcha-exilis-COI,0.0100334448160535,6
Pleurobema-decisum-COI,0.0141695702671312,6
Pleurobema-georgianum-COI,0.0335621662852784,3
Pleurobema-strodeanum-COI,0.0288288288288288,3
Pseudodon-cambodjensis-COI,0.0138436482084691,4
Pseudodon-vondembuschianus-COI,0.00179706333552487,13
Radiatula-khadakvaslaensis-COI,0.112257661038149,4
Sagittunio-nasutus-COI,0.00229007633587786,4
Sinanodonta-woodiana-COI,0.0119047619047619,14
Unio-delphinus-ND4,0.487562189054726,4
Utterbackiana-implicata-COI,0.00182370820668693,5
Arctica-islandica-ATP6,0.00896057347670251,3
Arctica-islandica-COI,0.00561140986672902,13
Arctica-islandica-COII,0.00847181492342783,3
Arctica-islandica-COIII,0.00860215053763441,3
Arctica-islandica-H3,0,5
Arctica-islandica-ND1,0.00730994152046784,3
Arctica-islandica-ND2,0.00977517106549365,3
Arctica-islandica-ND3,0.0032441200324412,3
Arctica-islandica-ND4,0.258212560386473,6
Arctica-islandica-ND5,0.00502415458937198,3
Arctica-islandica-ND6,0.00264550264550265,3
Corbicula-fluminea-COI,0.0503370150795798,53
Kelliella-miliaris-COI,0,3
Mactra-stultorum-COI,0.00182370820668693,5
Mulinia-lateralis-COI,0.00182370820668693,6
Oxyperas-elongatum-COI,0,4
Rangia-cuneata-COI,0.000857632933104631,4
Spisula-aequilatera-COI,0.0423351648351648,21
Spisula-discors-COI,0.00128115536920568,9
Spisula-elliptica-COI,0.00209515049312688,12
Spisula-murchisoni-COI,0.0509043927648579,4
Spisula-solida-COI,0.0783050847457627,10
Spisula-solidissima-COI,0.0572043010752688,10
Spisula-subtruncata-COI,0.00915908532087534,8
Tresus-capax-COI,0.00530738611233967,8
Paphies-donacina-COI,0.00361268641041798,10
Austrovenus-stutchburyi-COI,0.00481022764569435,409
Chamelea-gallina-COI,0.0679523539421441,41
Chamelea-striatula-COI,0.00195360195360195,7
Chione-cancellata-COI,0.00202634245187437,3
Cyclina-sinensis-COI,0.00206372791811128,9
Cyclinella-tenuis-COI,0.00243161094224924,5
Dosinia-anus-COI,0.00892810251562418,12
Dosinia-lupinus-COI,0.00505590666018473,11
Gemma-gemma-COI,0.00153332424696743,24
Humilaria-kennerleyi-COI,0.0652323580034423,5
Mercenaria-mercenaria-COI,0.00348854397634885,25
Meretrix-lyrata-COI,0.000742942050520059,12
Meretrix-meretrix-COI,0.00198117880138683,9
Ruditapes-decussatus-COI,0.0140926313657369,43
Ruditapes-philippinarum-COI,0.0115141955835962,16
Saxidomus-gigantea-COI,0.00303951367781155,8
Timoclea-ovata-COI,0.0055859553123575,17
Venus-casina-COI,0.00405268490374873,3
Abyssogena-phaseoliformis-COI,0.0662768031189084,4
Abyssogena-southwardae-COI,0.0022766504614951,96
Archivesica-gigas-ANT,0.000951426453224965,80
Archivesica-gigas-COI,0.000809867135948169,123
Archivesica-gigas-H3,0.0101456876456876,65
Calyptogena-extenta-COI,0.0973492195437333,27
Calyptogena-pacifica-COI,0.00158071527366133,7
Ectenagena-nautilei-COI,0.00129954515919428,3
Phreagena-nankaiensis-COI,0.00784313725490196,3
Phreagena-okutanii-COI,0.00224089635854342,7
Phreagena-soyoae-ANT,0.00199604116654808,63
Phreagena-soyoae-COI,0.000224985174817951,92
Phreagena-soyoae-H3,0.00374346949689415,73
Pliocardia-stearnsii-COI,0.00130718954248366,3
Vesicomya-pacifica-COI,0.00601374570446735,4
Alloteuthis-media-COI,0.00495992456388496,21
Alloteuthis-subulata-COI,0.00396039603960396,3
Doryteuthis-opalescens-COI,0,3
Doryteuthis-pealeii-COI,0.00608547008547009,10
Loligo-forbesii-COI,0,24
Loligo-vulgaris-COI,0.00807166430928807,15
Lolliguncula-brevis-COI,0.00076103500761035,4
Uroteuthis-duvaucelii-COI,0.014968152866242,5
Uroteuthis-edulis-COI,0.0362760020294267,4
Nautilus-pompilius-COI,0.0048661800486618,3
Eledone-cirrhosa-COI,0.00196399345335516,5
Enteroctopus-dofleini-COI,0.0168350168350168,5
Enteroctopus-dofleini-CYTB,0.00319055595437505,7
Enteroctopus-dofleini-ODH1,0.00252525252525253,3
Muusoctopus-rigbyae-COI,0.0132450331125828,3
Pareledone-aequipapillae-COI,0.00947866680235577,99
Pareledone-albimaculata-COI,0.00252323151482815,28
Pareledone-aurata-COI,0.0014058209774849,25
Pareledone-charcoti-COI,0.0158835365131968,71
Pareledone-cornuta-COI,0.00360511120063632,61
Pareledone-felix-COI,0.00766438079870916,37
Pareledone-panchroma-COI,0.00393889246002981,23
Pareledone-serperastrata-COI,0.000930153898190428,9
Pareledone-subtilis-COI,0.00640303968477343,17
Pareledone-turqueti-COI,0.0143475150127035,287
Thaumeledone-peninsulae-COI,0.0060882800608828,3
Thaumeledone-peninsulae-COIII,0.0119722747321991,3
Thaumeledone-peninsulae-CYTB,0.00790513833992095,3
Amphioctopus-marginatus-COI,0.0242075553625706,8
Cistopus-indicus-COI,0.015748031496063,4
Octopus-bimaculatus-COI,0.000258175559380379,40
Octopus-bimaculoides-COI,0.00303415808916071,23
Octopus-hubbsorum-COI,0.00134800908315133,35
Octopus-hubbsorum-COIII,0.00394321766561514,4
Octopus-insularis-COI,0.00418410041841004,8
Octopus-maya-COI,0.00139470013947001,3
Octopus-mimus-COIII,0.00674909255898367,20
Octopus-tetricus-COI,0.000591133004926108,29
Octopus-variabilis-COII,0.0951109076109076,27
Octopus-vulgaris-COI,0.0574207321222018,72
Octopus-vulgaris-COIII,0.0193965517241379,4
Architeuthis-dux-COI,0,3
Asperoteuthis-lui-COI,0.00482033304119194,8
Chiroteuthis-calyx-COI,0.00130662020905923,7
Chiroteuthis-veranii-COI,0.0402748163942194,7
Mastigoteuthis-psychrophila-COI,0.00225682690137666,7
Illex-coindetii-COI,0.128251520094913,11
Illex-illecebrosus-COI,0.00283910618257123,14
Illex-oxygonius-COI,0.052887537993921,6
Sthenoteuthis-oualaniensis-COI,0.0293984622342831,6
Todaropsis-eblanae-COI,0.00235883827215097,7
Ancistroteuthis-lichtensteinii-COI,0.000805953011835365,18
Filippovia-knipovitchi-COI,0.000638977635782748,5
Kondakovia-longimana-COI,0.000954861111111111,9
Moroteuthopsis-ingens-COI,8.22740548767946e-05,37
Notonykia-africanae-COI,0.00194552529182879,4
Onychoteuthis-banksii-COI,0.00133862706761506,53
Onykia-carriboea-COI,0.00305810397553517,5
Onykia-ingens-COI,0.0107197549770291,8
Onykia-robsoni-COI,0.081466784244562,15
Walvisteuthis-jeremiahi-COI,0.00436442989634479,3
Sepia-elegans-COI,0,3
Sepia-pharaonis-COI,0.0100062539086929,3
Rondeletiola-minor-COI,0.00563594821020564,13
Rossia-macrosoma-COI,0,8
Rossia-pacifica-COI,0.000628253455394005,9
Rossia-palpebrosa-COI,0.0710144927536232,3
Sepietta-oweniana-COI,0.000763358778625954,4
Sepiola-atlantica-COI,0,3
Sepiola-pfefferi-COI,0.00407040704070407,9
Sepiola-tridens-COI,0.00022002200220022,18
Vampyroteuthis-infernalis-COI,0.0275504637206765,4
Aplysia-punctata-COI,0.00333408679927667,8
Pomacea-maculata-COI,0.00814072932717,12
Pomacea-paludosa-COI,0.00139146567717996,8
Alycaeus-jagori-COI,0.0891136395561174,113
Alycaeus-jagori-H3,0.000758011293383841,164
Chamalycaeus-diplochilus-COI,0.0631313131313131,4
Cyclophorus-abditus-COI,0.0296011586452763,17
Cyclophorus-affinis-COI,0.0315656565656566,4
Cyclophorus-amoenus-COI,0.0151515151515152,5
Cyclophorus-aurantiacus-COI,0.126439163673206,12
Cyclophorus-bensoni-COI,0.134343434343434,3
Cyclophorus-courbeti-COI,0.0131313131313131,3
Cyclophorus-expansus-COI,0.0744138080764221,8
Cyclophorus-fulguratus-COI,0.0884333531392355,18
Cyclophorus-haughtoni-COI,0.0151515151515152,3
Cyclophorus-malayanus-COI,0.0734848484848485,4
Cyclophorus-rangunensis-COI,0.0239439853076217,12
Cyclophorus-volvulus-COI,0.0992872070458277,29
Leptopoma-perlucidum-COI,0.0115503114842904,65
Leptopoma-sericatum-COI,0.0962349397590361,5
Plectostoma-christae-COI,0.0533260632497274,8
Plectostoma-concinnum-COI,0.0425054937336995,338
Plectostoma-crassipupa-COI,0.139320142059868,6
Plectostoma-kakiense-COI,0.0943683409436834,3
Plectostoma-laidlawi-COI,0.0974576271186441,9
Plectostoma-mirabile-COI,0.00236294896030246,17
Plectostoma-salpidomon-COI,0.03359375,5
Plectostoma-simplex-COI,0.00713775874375446,4
Plectostoma-sinyumensis-COI,0.140812720848057,5
Plectostoma-siphonostomum-COI,0.0342767295597484,5
Chondrocyclus-alabastris-COI,0.0577533577533578,13
Chondrocyclus-bathrolophodes-COI,0.0041522491349481,5
Chondrocyclus-convexiusculus-COI,0.0625633232016211,4
Chondrocyclus-isipingoensis-COI,0.0924012158054711,6
Cochlostoma-adamii-H3,0.00496224379719525,6
Cochlostoma-auritum-COI,0.0544100094661892,13
Cochlostoma-auritum-H3,0.142857142857143,3
Cochlostoma-dalmatinum-COI,0,3
Cochlostoma-dalmatinum-H3,0.00215749730312837,4
Cochlostoma-georgi-COI,0.01440329218107,4
Cochlostoma-hoyeri-COI,0.0420921544209215,11
Cochlostoma-hoyeri-H3,0.159259259259259,4
Cochlostoma-jakschae-COI,0.0448323066392882,4
Cochlostoma-jakschae-H3,0.00369856680536292,7
Cochlostoma-mnelense-H3,0.00215749730312837,4
Cochlostoma-pinteri-COI,0.0565308254963427,6
Cochlostoma-pinteri-H3,0.00388888888888889,4
Cochlostoma-roseoli-COI,0.0555231021725222,24
Cochlostoma-tropojanum-COI,0.0060790273556231,5
Cochlostoma-tropojanum-H3,0,6
Campeloma-decisum-COI,0.00815494393476045,3
Cipangopaludina-chinensis-COI,0.00810536980749747,6
Cipangopaludina-japonica-COI,0.000771604938271605,4
Viviparus-georgianus-COI,0.000715478177915574,8
Acteon-tornatilis-COI,0.0314017366648946,10
Cylichna-alba-COI,0.033434650455927,5
Cylichna-cylindracea-COI,0.0147651006711409,5
Cylichna-gouldii-COI,0.0149237472766885,6
Diaphana-minuta-COI,0.108218478815722,3
Gastropteron-pacificum-COI,0.00483561845790948,15
Haminoea-virescens-COI,0.00205412907702984,11
Hermania-scabra-COI,0.0562137049941928,7
Philine-lima-COI,0.00101936799184506,4
Retusa-obtusa-COI,0.00631469979296066,6
Microglyphis-furukawai-COI,0.0131712259371834,3
Microglyphis-hasegawai-COI,0.00253292806484296,4
Ringiculoides-kurilensis-COI,0.0127567467993,12
Scaphander-lignarius-COI,0.0059244126659857,12
Acteocina-canaliculata-COI,0.0516260162601626,6
Georissa-nephrostoma-COI,0.0104591779306441,68
Georissa-nephrostoma-H3,0.00388470204335327,61
Georissa-similis-COI,0.0853445290858726,305
Georissa-similis-H3,0.00721411575472109,235
Nerita-albicilla-COI,0.0146341463414634,5
Nerita-chamaeleon-COI,0.0530679933665008,3
Nerita-costata-COI,0.0065015479876161,5
Carychium-clappi-COI,0.00454545454545455,5
Carychium-exiguum-COI,0.00217864923747277,3
Carychium-exile-COI,0.000409165302782324,8
Carychium-floridanum-COI,0,6
Carychium-ibazoricum-COI,0.00786958965711074,3
Carychium-mexicanum-COI,0,3
Carychium-minimum-COI,0.0144230769230769,10
Carychium-occidentale-COI,0.0022875816993464,10
Carychium-stygium-COI,0.0106666666666667,6
Carychium-tridentatum-COI,0.00640359986154379,9
Melampus-bidentatus-COI,0.0519778443398469,19
Zospeum-exiguum-COI,0.00261011419249592,5
Zospeum-frauenfeldi-COI,0,5
Zospeum-isselianum-COI,0.046875,4
Zospeum-spelaeum-COI,0.0178728070175439,6
Zospeum-subobesum-COI,0,3
Diodora-cayenensis-COI,0.0420194003527337,9
Diodora-cayenensis-H3,0.0298780487804878,5
Emarginula-fissura-COI,0.0010498687664042,3
Emarginula-rosea-COI,0.00435663627152989,10
Haliotis-discus-COI,0.00857843137254902,9
Clypeosectus-delectus-COI,0.00138169257340242,5
Gorgoleptis-emarginatus-COI,0.00728424386381631,6
Gorgoleptis-spiralis-COI,0.0018796992481203,6
Lepetodrilus-cristatus-COI,0.00136591094771242,18
Lepetodrilus-elevatus-COI,0.0280354540160358,417
Lepetodrilus-guaymasensis-COI,0.00206910821435961,9
Lepetodrilus-ovalis-COI,0.00770297996980233,187
Lepetodrilus-pustulosus-COI,0.00226814516129032,31
Lepetodrilus-tevnianus-ATPSA,0.00195399244595441,236
Lepetodrilus-tevnianus-CAL,0.00448779066687854,280
Lepetodrilus-tevnianus-COI,0.0179048938092465,146
Lepetodrilus-tevnianus-CYTB,0.013438093657205,160
Amnicola-limosus-COI,0.0162205830698981,26
Baicalia-carinatocostata-COI,0.00404577334809893,15
Baicalia-turriformis-COI,0,10
Maackia-herderiana-COI,0.00170606117004777,28
Pisinna-glabrata-COI,0.00127186009538951,5
Adamsiella-ignilabris-COI,0.0365923384791309,3
Adamsiella-monstrosa-COI,0.0224828934506354,3
Adamsiella-variabilis-COI,0.00782013685239492,3
Aporrhais-pespelecani-COI,0.00734355044699872,9
Atlanta-ariejansseni-COI,0.00214240372407956,17
Atlanta-gaudichaudi-COI,0,3
Atlanta-inclinata-COI,0.0413488114980652,6
Atlanta-peronii-COI,0.0712788259958071,3
Atlanta-selvagensis-COI,0,5
Protatlanta-souleyeti-COI,0.0824525237381309,46
Bithynia-tentaculata-COI,0.0140464613722312,4
Bursa-granularis-COI,0.0614179763163523,69
Bythinella-thermophila-COI,0,3
Bostrycapulus-urraca-COI,0.00872885979268958,3
Calyptraea-fastigiata-COI,0.068,5
Crepidula-adunca-COI,0.000362515860068878,18
Crepidula-convexa-COI,0.030379746835443,5
Crepidula-fornicata-COI,0.0128139834022187,34
Crepidula-norrisiarum-COI,0.000487329434697856,8
Crepidula-plana-COI,0.00895522388059701,5
Crepidula-williamsi-COI,0.0148572884811417,16
Crepipatella-lingulata-COI,0.00357452531365575,28
Ariadnaria-borealis-COI,0.00202634245187437,3
Ariadnaria-insignis-COI,0.00143616257360333,12
Trichotropis-cancellata-COI,0.00785181490635143,44
Sassia-remensa-COI,0.0089413030650144,100
Neobernaya-spadicea-COI,0.00202020202020202,9
Ecrobia-truncata-COI,0.00153311773865134,24
Peringia-ulvae-COI,0.0213871235147831,11
Pyrgulopsis-archimedis-COI,0.000850340136054422,4
Pyrgulopsis-blainica-COI,0.00101317122593718,3
Pyrgulopsis-deaconi-COI,0.00832049306625578,11
Pyrgulopsis-fresti-COI,0.00810536980749747,3
Pyrgulopsis-hendersoni-COI,0,4
Pyrgulopsis-kolobensis-COI,0.0298978885427484,9
Pyrgulopsis-licina-COI,0.00256821829855538,5
Pyrgulopsis-licina-ND1,0.00146198830409357,3
Pyrgulopsis-perforata-COI,0.00321027287319422,3
Pyrgulopsis-perforata-ND1,0.00197628458498024,5
Pyrgulopsis-turbatrix-COI,0.00726392251815981,7
Fluminicola-klamathensis-COI,0.00973646414375898,14
Fluminicola-klamathensis-CYTB,0.00617335562987737,16
Fluminicola-modoci-COI,0.00396783805231557,29
Fluminicola-modoci-CYTB,0.00434555092940186,49
Fluminicola-multifarius-COI,0.0225215913505787,77
Fluminicola-multifarius-CYTB,0.029486656094127,72
Cenchritis-muricatus-COI,0.011144883485309,3
Echinolittorina-paytensis-COI,0.0085147171154602,95
Lacuna-vincta-COI,0.0110246567762908,35
Littoraria-angulifera-COI,0.00177304964539007,4
Littoraria-subvittata-COI,0.000863690496065534,298
Littorina-arcana-COI,0,4
Littorina-compressa-COI,0,4
Littorina-fabalis-COI,0,5
Littorina-littorea-COI,0.0036197351083056,42
Littorina-littorea-H3,0,3
Littorina-obtusata-COI,0.00185534716252719,68
Littorina-plena-COI,0.00387596899224806,3
Littorina-saxatilis-COI,0.00614962962962963,126
Littorina-scutulata-COI,0.00156028368794326,25
Littorina-sitkana-COI,0.000444500943915915,67
Littorina-sitkana-CYTB,0.00835457377513452,22
Melarhaphe-neritoides-COI,0.00987841945288754,4
Bythiospeum-hungaricum-COI,0,11
Cryptonatica-affinis-COI,0.0369152780566151,17
Cryptonatica-aleutica-COI,0.00405268490374873,4
Euspira-catena-COI,0,3
Euspira-fusca-COI,0.00354609929078014,9
Euspira-heros-COI,0.0151169142867378,19
Euspira-montagui-COI,0.00208659363588941,6
